date_and_time, Numberofsatellites, longtitude,
12:34:15.00,24,03454.626775 E,221.6
12:34:16.00,24,03454.610096 E,221.7
12:34:17.00,25,03454.593258 E,221.8
12:34:18.00,24,03454.576219 E,221.9
12:34:19.00,22,03454.559193 E,222.0
12:34:20.00,24,03454.542022 E,222.2
12:34:21.00,26,03454.524620 E,222.4
12:34:22.00,26,03454.507591 E,222.4
12:34:23.00,26,03454.490905 E,222.4
12:34:24.00,26,03454.474727 E,223.4
12:34:25.00,26,03454.458129 E,224.7
12:34:26.00,26,03454.441804 E,225.9
12:34:27.00,24,03454.425319 E,227.0
12:34:28.00,25,03454.409060 E,227.8
12:34:29.00,25,03454.392572 E,228.3
12:34:30.00,25,03454.376018 E,228.6
12:34:31.00,25,03454.359390 E,228.6
12:34:32.00,25,03454.342999 E,228.4
12:34:33.00,24,03454.327213 E,228.1
12:34:34.00,25,03454.311597 E,227.6
12:34:35.00,25,03454.297052 E,227.0
12:34:36.00,27,03454.282624 E,226.4
12:34:37.00,27,03454.268575 E,225.9
12:34:38.00,26,03454.254504 E,225.6
12:34:39.00,25,03454.240281 E,225.5
12:34:40.00,27,03454.226037 E,225.3
12:34:41.00,26,03454.211533 E,225.4
12:34:42.00,26,03454.197210 E,225.6
12:34:43.00,25,03454.182624 E,225.6
12:34:44.00,25,03454.167880 E,225.3
12:34:45.00,25,03454.152956 E,224.9
12:34:46.00,25,03454.138204 E,224.4
12:34:47.00,24,03454.123433 E,223.7
12:34:48.00,24,03454.108714 E,222.7
12:34:49.00,24,03454.093825 E,221.6
12:34:50.00,24,03454.079117 E,220.3
12:34:51.00,25,03454.064469 E,218.8
12:34:52.00,26,03454.049964 E,217.4
12:34:53.00,25,03454.035602 E,216.2
12:34:54.00,25,03454.021184 E,215.3
12:34:55.00,26,03454.006933 E,214.8
12:34:56.00,25,03453.992592 E,214.3
12:34:57.00,26,03453.978028 E,214.1
12:34:58.00,25,03453.963105 E,213.9
12:34:59.00,24,03453.948043 E,213.9
12:35:00.00,24,03453.932778 E,213.8
12:35:01.00,24,03453.917569 E,213.5
12:35:02.00,26,03453.902260 E,213.0
12:35:03.00,25,03453.886842 E,212.2
12:35:04.00,26,03453.871264 E,211.3
12:35:05.00,25,03453.855693 E,210.4
12:35:06.00,24,03453.839918 E,209.8
12:35:07.00,25,03453.824143 E,208.7
12:35:08.00,25,03453.808731 E,207.7
12:35:09.00,25,03453.793340 E,206.7
12:35:10.00,25,03453.778055 E,205.5
12:35:11.00,24,03453.762867 E,204.3
12:35:12.00,24,03453.747616 E,203.2
12:35:13.00,24,03453.732512 E,202.3
12:35:14.00,24,03453.717631 E,201.2
12:35:15.00,25,03453.703058 E,199.9
12:35:16.00,24,03453.688537 E,198.6
12:35:17.00,24,03453.674076 E,197.4
12:35:18.00,25,03453.659770 E,196.3
12:35:19.00,24,03453.645612 E,195.2
12:35:20.00,24,03453.631762 E,193.9
12:35:21.00,25,03453.617950 E,192.9
12:35:22.00,24,03453.603471 E,192.0
12:35:23.00,25,03453.589232 E,191.2
12:35:24.00,26,03453.575019 E,190.4
12:35:25.00,25,03453.560992 E,189.6
12:35:26.00,26,03453.546930 E,188.7
12:35:27.00,26,03453.532875 E,188.0
12:35:28.00,25,03453.518585 E,187.2
12:35:29.00,26,03453.504073 E,186.4
12:35:30.00,25,03453.489270 E,185.4
12:35:31.00,25,03453.474581 E,184.5
12:35:32.00,25,03453.459777 E,183.4
12:35:33.00,25,03453.444462 E,182.3
12:35:34.00,25,03453.429040 E,181.3
12:35:35.00,25,03453.413884 E,180.4
12:35:36.00,25,03453.398913 E,179.9
12:35:37.00,25,03453.384259 E,179.5
12:35:38.00,25,03453.369774 E,179.3
12:35:39.00,27,03453.355603 E,179.0
12:35:40.00,26,03453.341276 E,178.6
12:35:41.00,27,03453.327223 E,178.4
12:35:42.00,26,03453.313546 E,178.3
12:35:43.00,24,03453.300004 E,178.1
12:35:44.00,26,03453.286408 E,178.0
12:35:45.00,27,03453.272896 E,177.7
12:35:46.00,25,03453.259326 E,177.4
12:35:47.00,25,03453.245658 E,177.1
12:35:48.00,25,03453.231634 E,176.8
12:35:49.00,25,03453.217507 E,176.3
12:35:50.00,25,03453.203464 E,175.4
12:35:51.00,25,03453.189886 E,174.4
12:35:52.00,24,03453.176340 E,173.3
12:35:53.00,25,03453.163600 E,172.1
12:35:54.00,25,03453.152072 E,171.0
12:35:55.00,24,03453.142494 E,170.0
12:35:56.00,25,03453.133618 E,169.3
12:35:57.00,24,03453.124937 E,168.5
12:35:58.00,25,03453.115740 E,167.6
12:35:59.00,25,03453.106261 E,166.7
12:36:00.00,24,03453.096810 E,166.0
12:36:01.00,24,03453.087147 E,165.4
12:36:02.00,24,03453.077193 E,164.8
12:36:03.00,22,03453.067188 E,164.1
12:36:04.00,24,03453.057374 E,163.3
12:36:05.00,24,03453.047906 E,162.6
12:36:06.00,25,03453.039391 E,162.0
12:36:07.00,26,03453.032320 E,161.5
12:36:08.00,26,03453.026468 E,161.1
12:36:09.00,26,03453.022274 E,160.7
12:36:10.00,24,03453.019569 E,160.1
12:36:11.00,25,03453.017576 E,159.3
12:36:12.00,25,03453.015681 E,158.3
12:36:13.00,25,03453.013447 E,157.3
12:36:14.00,25,03453.011260 E,156.3
12:36:15.00,26,03453.009082 E,155.4
12:36:16.00,25,03453.006962 E,154.6
12:36:17.00,24,03453.004962 E,153.9
12:36:18.00,24,03453.003059 E,153.1
12:36:19.00,24,03453.001281 E,152.4
12:36:20.00,24,03452.999839 E,151.5
12:36:21.00,24,03452.998367 E,150.7
12:36:22.00,24,03452.996879 E,149.9
12:36:23.00,24,03452.995337 E,149.1
12:36:24.00,24,03452.993433 E,148.2
12:36:25.00,26,03452.991174 E,147.5
12:36:26.00,26,03452.988033 E,147.3
12:36:27.00,25,03452.983962 E,147.3
12:36:28.00,24,03452.978601 E,147.3
12:36:29.00,25,03452.971810 E,147.5
12:36:30.00,25,03452.963584 E,147.9
12:36:31.00,25,03452.954217 E,148.1
12:36:32.00,25,03452.944298 E,148.0
12:36:33.00,24,03452.933893 E,147.7
12:36:34.00,25,03452.923160 E,147.4
12:36:35.00,25,03452.912114 E,147.1
12:36:36.00,27,03452.901169 E,147.0
12:36:37.00,24,03452.890465 E,147.0
12:36:38.00,25,03452.879541 E,147.2
12:36:39.00,24,03452.868863 E,147.1
12:36:40.00,26,03452.858073 E,146.8
12:36:41.00,26,03452.846901 E,146.6
12:36:42.00,25,03452.835235 E,146.4
12:36:43.00,26,03452.822738 E,146.6
12:36:44.00,26,03452.809844 E,146.9
12:36:45.00,24,03452.796530 E,147.4
12:36:46.00,24,03452.783018 E,148.0
12:36:47.00,23,03452.769328 E,148.7
12:36:48.00,23,03452.755623 E,149.2
12:36:49.00,25,03452.742301 E,149.6
12:36:50.00,24,03452.729001 E,149.8
12:36:51.00,24,03452.716138 E,149.8
12:36:52.00,24,03452.703893 E,149.8
12:36:53.00,23,03452.691593 E,149.9
12:36:54.00,24,03452.679469 E,149.7
12:36:55.00,25,03452.667107 E,149.5
12:36:56.00,24,03452.654354 E,149.0
12:36:57.00,24,03452.641251 E,148.5
12:36:58.00,25,03452.627988 E,147.9
12:36:59.00,24,03452.614895 E,147.3
12:37:00.00,26,03452.602387 E,146.6
12:37:01.00,24,03452.590465 E,146.2
12:37:02.00,24,03452.579331 E,145.8
12:37:03.00,24,03452.569028 E,145.4
12:37:04.00,24,03452.559680 E,144.6
12:37:05.00,23,03452.550709 E,143.7
12:37:06.00,25,03452.541455 E,142.8
12:37:07.00,23,03452.531990 E,142.0
12:37:08.00,24,03452.522349 E,141.4
12:37:09.00,24,03452.512385 E,141.0
12:37:10.00,24,03452.501934 E,140.8
12:37:11.00,26,03452.490715 E,140.4
12:37:12.00,23,03452.478868 E,139.8
12:37:13.00,24,03452.466688 E,139.2
12:37:14.00,26,03452.454520 E,138.6
12:37:15.00,24,03452.442495 E,138.1
