date_and_time, Numberofsatellites, longtitude,
00:05:41.800,10,11142.2715 W,395.2
00:05:42.600,10,11142.2714 W,395.2
00:05:43.400,9,11142.2714 W,395.1
00:05:44.200,9,11142.2713 W,395.1
00:05:45.000,8,11142.2712 W,395.1
00:05:45.800,8,11142.2712 W,395.1
00:05:46.600,8,11142.2711 W,395.1
00:05:47.400,8,11142.2711 W,395.1
00:05:48.200,9,11142.2710 W,395.0
00:05:49.000,9,11142.2710 W,395.0
00:05:49.800,10,11142.2710 W,395.0
00:05:50.600,10,11142.2709 W,395.0
00:05:51.400,10,11142.2709 W,395.0
00:05:53.000,10,11142.2709 W,395.0
00:05:53.800,10,11142.2709 W,395.0
00:05:54.600,10,11142.2709 W,395.0
00:05:55.400,10,11142.2709 W,395.0
00:05:56.200,10,11142.2709 W,395.0
00:05:57.000,9,11142.2708 W,394.9
00:05:57.800,9,11142.2708 W,394.9
00:05:58.600,9,11142.2708 W,394.9
00:05:59.400,9,11142.2708 W,394.9
00:06:00.200,10,11142.2708 W,394.9
00:06:01.000,10,11142.2708 W,394.9
00:06:01.800,10,11142.2708 W,394.9
00:06:05.000,10,11142.2706 W,394.8
00:06:05.800,10,11142.2706 W,394.8
00:06:06.600,10,11142.2705 W,394.7
00:06:07.400,10,11142.2704 W,394.7
00:06:08.200,10,11142.2703 W,394.7
00:06:09.000,10,11142.2702 W,394.7
00:06:10.600,10,11142.2700 W,394.7
00:06:11.400,8,11142.2699 W,394.7
00:06:12.200,8,11142.2698 W,394.7
00:06:13.000,8,11142.2698 W,394.7
00:06:13.800,9,11142.2702 W,394.8
00:06:14.800,10,11142.2754 W,395.4
00:06:15.800,9,11142.2831 W,396.3
00:06:16.600,9,11142.2898 W,397.5
00:06:17.400,9,11142.2958 W,398.4
00:06:19.000,8,11142.3059 W,400.3
00:06:19.800,8,11142.3094 W,401.5
00:06:20.600,8,11142.3124 W,403.0
00:06:21.400,8,11142.3143 W,404.4
00:06:22.200,8,11142.3162 W,405.6
00:06:23.000,8,11142.3171 W,406.5
00:06:26.200,8,11142.3147 W,408.7
00:06:27.000,8,11142.3118 W,410.0
00:06:27.800,9,11142.3084 W,412.4
00:06:28.600,9,11142.3056 W,416.1
00:06:29.400,8,11142.3032 W,419.4
00:06:30.200,9,11142.3015 W,423.2
00:06:31.000,9,11142.3006 W,426.2
00:06:31.800,9,11142.3010 W,428.8
00:06:32.600,8,11142.3023 W,431.0
00:06:33.400,9,11142.3051 W,433.4
00:06:34.200,9,11142.3087 W,436.4
00:06:35.000,9,11142.3131 W,439.7
00:06:35.800,9,11142.3183 W,443.3
00:06:36.600,7,11142.3242 W,445.0
00:06:40.200,7,11142.3465 W,445.2
00:06:41.000,6,11142.3460 W,444.7
00:06:41.800,7,11142.3428 W,443.8
00:06:42.600,7,11142.3372 W,443.0
00:06:43.400,7,11142.3300 W,442.2
00:06:45.800,8,11142.3047 W,438.3
00:06:46.600,8,11142.2980 W,437.9
00:07:01.000,10,11142.1892 W,431.7
00:07:01.800,10,11142.1852 W,432.0
00:07:03.400,9,11142.1788 W,431.2
00:07:04.200,9,11142.1767 W,431.5
00:07:09.000,9,11142.1732 W,439.7
00:07:10.600,9,11142.1747 W,442.1
00:07:11.400,9,11142.1766 W,443.0
00:07:12.200,9,11142.1787 W,444.5
00:07:13.000,9,11142.1813 W,445.9
00:07:13.800,10,11142.1843 W,447.3
00:07:14.600,10,11142.1873 W,448.7
00:07:15.400,10,11142.1899 W,448.8
00:07:16.200,10,11142.1925 W,450.1
00:07:24.200,9,11142.2324 W,459.7
00:07:25.000,9,11142.2363 W,460.8
00:07:25.800,9,11142.2407 W,461.5
00:07:26.600,10,11142.2452 W,462.3
00:07:27.400,10,11142.2494 W,463.5
00:07:28.200,10,11142.2541 W,465.8
00:07:29.000,10,11142.2587 W,468.2
00:07:29.800,10,11142.2630 W,470.3
00:07:30.600,10,11142.2670 W,472.2
00:07:31.400,10,11142.2710 W,474.0
00:07:32.200,10,11142.2750 W,475.9
00:07:33.000,10,11142.2791 W,477.6
00:07:33.800,10,11142.2835 W,479.4
00:07:36.200,10,11142.2952 W,484.4
00:07:37.000,10,11142.2993 W,485.6
00:07:37.800,10,11142.3031 W,486.1
00:07:38.600,10,11142.3067 W,487.3
00:07:39.400,10,11142.3102 W,489.2
00:07:40.200,10,11142.3140 W,491.1
00:07:41.000,10,11142.3174 W,492.1
00:07:41.800,10,11142.3212 W,494.4
00:07:42.600,10,11142.3246 W,496.2
00:07:43.400,10,11142.3280 W,497.9
00:07:44.200,10,11142.3311 W,499.4
00:07:45.000,9,11142.3338 W,500.9
00:07:45.800,8,11142.3362 W,501.0
00:07:46.600,7,11142.3392 W,502.5
00:07:47.400,8,11142.3424 W,503.6
00:07:48.200,8,11142.3459 W,505.7
00:07:49.000,9,11142.3489 W,506.5
00:07:49.800,9,11142.3515 W,508.7
00:07:50.600,9,11142.3538 W,510.7
00:07:51.400,9,11142.3556 W,512.6
00:07:52.200,9,11142.3574 W,514.7
