date_and_time, Numberofsatellites, longtitude,
11:46:05.0,07,03512.321467 E,651.7
11:46:06.0,07,03512.321472 E,651.7
11:46:07.0,07,03512.321476 E,651.6
11:46:08.0,07,03512.321479 E,651.6
11:46:09.0,07,03512.321479 E,651.6
11:46:10.0,06,03512.321480 E,651.6
11:46:11.0,07,03512.321484 E,651.6
11:46:12.0,07,03512.321488 E,651.6
11:46:13.0,07,03512.321488 E,651.6
11:46:14.0,07,03512.321508 E,651.0
11:46:15.0,08,03512.321518 E,651.0
11:46:16.0,08,03512.321520 E,651.0
11:46:17.0,08,03512.321516 E,651.0
11:46:18.0,08,03512.321512 E,651.0
11:46:19.0,08,03512.321509 E,651.0
11:46:20.0,09,03512.321338 E,651.0
11:46:21.0,09,03512.320764 E,651.3
11:46:22.0,09,03512.319686 E,651.0
11:46:23.0,09,03512.316199 E,649.9
11:46:24.0,09,03512.309932 E,649.1
11:46:25.0,09,03512.303228 E,648.9
11:46:26.0,09,03512.294953 E,648.7
11:46:27.0,08,03512.285814 E,648.0
11:46:28.0,08,03512.275609 E,646.9
11:46:29.0,08,03512.264306 E,646.0
11:46:30.0,08,03512.252385 E,645.1
11:46:31.0,08,03512.239540 E,644.1
11:46:32.0,08,03512.226226 E,643.5
11:46:33.0,08,03512.212030 E,642.5
11:46:34.0,08,03512.197161 E,642.4
11:46:35.0,09,03512.182253 E,643.1
11:46:36.0,09,03512.166658 E,643.3
11:46:37.0,09,03512.150288 E,643.2
11:46:38.0,09,03512.132773 E,643.0
11:46:39.0,09,03512.116521 E,642.5
11:46:40.0,09,03512.101815 E,643.4
11:46:41.0,09,03512.086131 E,643.3
11:46:42.0,09,03512.071630 E,644.4
11:46:43.0,09,03512.056805 E,644.3
11:46:44.0,09,03512.042181 E,644.8
11:46:45.0,09,03512.028549 E,645.3
11:46:46.0,09,03512.013644 E,646.9
11:46:47.0,09,03512.000616 E,645.5
11:46:48.0,09,03511.987463 E,645.0
11:46:49.0,09,03511.974124 E,641.7
11:46:50.0,09,03511.960669 E,640.8
11:46:51.0,09,03511.947377 E,639.7
11:46:52.0,09,03511.934068 E,639.5
11:46:53.0,09,03511.920151 E,637.7
11:46:54.0,09,03511.906939 E,637.7
11:46:55.0,09,03511.893256 E,637.3
11:46:56.0,09,03511.880008 E,637.3
11:46:57.0,09,03511.866759 E,636.9
11:46:58.0,09,03511.853582 E,635.6
11:46:59.0,09,03511.840303 E,635.7
11:47:00.0,09,03511.826926 E,635.7
11:47:01.0,09,03511.813877 E,635.7
11:47:02.0,09,03511.802267 E,635.1
11:47:03.0,09,03511.791964 E,634.2
11:47:04.0,09,03511.783034 E,633.7
11:47:05.0,09,03511.774558 E,633.7
11:47:06.0,09,03511.767818 E,632.5
11:47:07.0,09,03511.762683 E,631.5
11:47:08.0,09,03511.758101 E,631.4
11:47:09.0,09,03511.756191 E,628.6
11:47:10.0,09,03511.751564 E,628.9
11:47:11.0,09,03511.746821 E,627.9
11:47:12.0,09,03511.741685 E,627.6
11:47:13.0,09,03511.736359 E,627.5
11:47:14.0,09,03511.731058 E,627.9
11:47:15.0,09,03511.726302 E,627.4
11:47:16.0,09,03511.722138 E,626.6
11:47:17.0,09,03511.718781 E,625.5
11:47:18.0,09,03511.715891 E,625.0
11:47:19.0,09,03511.714419 E,624.7
11:47:20.0,09,03511.714141 E,624.9
11:47:21.0,08,03511.714215 E,624.3
11:47:22.0,08,03511.714419 E,624.0
11:47:23.0,08,03511.714497 E,623.6
11:47:24.0,08,03511.714497 E,623.6
11:47:25.0,08,03511.714327 E,623.3
11:47:26.0,08,03511.714189 E,623.3
11:47:27.0,08,03511.714220 E,623.7
11:47:28.0,08,03511.714220 E,623.7
11:47:29.0,08,03511.714019 E,623.8
11:47:30.0,08,03511.713946 E,623.9
11:47:31.0,08,03511.713908 E,623.9
11:47:32.0,08,03511.713914 E,623.9
11:47:33.0,08,03511.713973 E,623.6
11:47:34.0,08,03511.713965 E,623.6
11:47:35.0,08,03511.713991 E,623.6
11:47:36.0,08,03511.713605 E,623.5
11:47:37.0,08,03511.713806 E,623.8
11:47:38.0,08,03511.713756 E,623.7
11:47:39.0,08,03511.713911 E,622.7
11:47:40.0,08,03511.713912 E,622.7
11:47:41.0,08,03511.713921 E,622.4
11:47:42.0,08,03511.711331 E,623.2
11:47:43.0,08,03511.709879 E,623.2
11:47:44.0,08,03511.705298 E,621.9
11:47:45.0,08,03511.699358 E,620.6
11:47:46.0,08,03511.693121 E,619.3
11:47:47.0,09,03511.685985 E,619.2
11:47:48.0,09,03511.677622 E,618.2
11:47:49.0,09,03511.668795 E,617.5
11:47:50.0,09,03511.659334 E,615.7
11:47:51.0,09,03511.648582 E,613.9
11:47:52.0,09,03511.636799 E,612.3
11:47:53.0,09,03511.624504 E,611.2
11:47:54.0,09,03511.612292 E,610.9
11:47:55.0,09,03511.599806 E,606.8
11:47:56.0,09,03511.586606 E,606.3
11:47:57.0,09,03511.571502 E,605.8
11:47:58.0,09,03511.555837 E,605.1
11:47:59.0,09,03511.540670 E,606.1
11:48:00.0,09,03511.525103 E,605.7
11:48:01.0,09,03511.509081 E,606.3
11:48:02.0,09,03511.493438 E,606.8
11:48:03.0,09,03511.478247 E,607.0
11:48:04.0,09,03511.461882 E,606.1
11:48:05.0,09,03511.445927 E,607.5
11:48:06.0,09,03511.430254 E,607.3
11:48:07.0,09,03511.414534 E,607.4
11:48:08.0,09,03511.399463 E,607.1
11:48:09.0,08,03511.384796 E,607.5
11:48:10.0,08,03511.370497 E,607.4
11:48:11.0,08,03511.356443 E,607.0
11:48:12.0,08,03511.342904 E,604.7
11:48:13.0,08,03511.329054 E,604.3
11:48:14.0,08,03511.315955 E,602.3
11:48:15.0,08,03511.303501 E,601.7
11:48:16.0,08,03511.291752 E,600.5
11:48:17.0,08,03511.280899 E,601.9
11:48:18.0,08,03511.272070 E,601.8
11:48:19.0,08,03511.264009 E,601.6
11:48:20.0,08,03511.259718 E,599.0
11:48:21.0,08,03511.253649 E,598.9
11:48:22.0,08,03511.248277 E,598.8
