date_and_time, Numberofsatellites, longtitude,
10:44:27.591,05,01803.2938 E,78.2
10:44:28.591,05,01803.2943 E,78.9
10:44:29.591,05,01803.2931 E,77.1
10:44:30.591,05,01803.2935 E,77.5
10:44:31.591,05,01803.2939 E,77.9
10:44:32.591,04,01803.2940 E,77.9
10:44:33.591,04,01803.2940 E,77.8
10:44:34.591,04,01803.2938 E,77.7
10:44:35.591,04,01803.2935 E,77.5
10:44:36.591,04,01803.2931 E,77.3
10:44:37.591,04,01803.2926 E,77.0
10:44:38.590,04,01803.2920 E,76.8
10:44:39.590,04,01803.2914 E,76.5
10:44:40.590,04,01803.2908 E,76.3
10:44:41.590,04,01803.2903 E,76.0
10:44:42.590,05,01803.2899 E,75.8
10:44:43.590,05,01803.2895 E,75.8
10:44:44.590,04,01803.2888 E,75.8
10:44:45.590,04,01803.2879 E,75.7
10:44:46.590,05,01803.2872 E,75.7
10:44:47.590,05,01803.2867 E,76.0
10:44:48.590,05,01803.2863 E,76.5
10:44:49.590,05,01803.2860 E,77.4
10:44:50.590,05,01803.2859 E,78.4
10:44:51.590,04,01803.2856 E,79.1
10:44:52.589,04,01803.2852 E,79.7
10:44:53.589,05,01803.2848 E,80.3
10:44:54.589,05,01803.2844 E,80.8
10:44:55.589,04,01803.2837 E,81.1
10:44:56.589,04,01803.2829 E,81.1
10:44:57.589,04,01803.2822 E,81.1
10:44:58.589,04,01803.2815 E,81.0
10:44:59.589,05,01803.2806 E,80.8
10:45:00.589,05,01803.2793 E,80.1
10:45:01.589,05,01803.2769 E,78.2
10:45:02.589,05,01803.2738 E,75.4
10:45:03.589,05,01803.2708 E,72.6
10:45:04.589,05,01803.2680 E,69.9
10:45:05.588,05,01803.2658 E,67.5
10:45:06.588,05,01803.2640 E,65.4
10:45:07.588,05,01803.2621 E,63.5
10:45:08.588,05,01803.2600 E,61.8
10:45:09.588,05,01803.2578 E,60.4
10:45:10.588,05,01803.2559 E,59.1
10:45:11.588,05,01803.2545 E,58.0
10:45:12.588,05,01803.2532 E,56.9
10:45:13.588,06,01803.2518 E,56.1
10:45:14.588,05,01803.2501 E,55.3
10:45:15.588,06,01803.2484 E,54.4
10:45:16.588,05,01803.2469 E,53.8
10:45:17.588,06,01803.2454 E,53.2
10:45:18.588,05,01803.2440 E,52.7
10:45:19.587,05,01803.2425 E,52.1
10:45:20.587,05,01803.2410 E,51.4
10:45:21.587,05,01803.2398 E,50.9
10:45:22.587,05,01803.2385 E,50.4
10:45:23.587,06,01803.2373 E,50.0
10:45:24.587,07,01803.2360 E,49.1
10:45:25.587,06,01803.2351 E,48.6
10:45:26.587,06,01803.2341 E,48.0
10:45:27.587,05,01803.2331 E,47.4
10:45:28.587,05,01803.2320 E,46.8
10:45:29.587,05,01803.2309 E,46.1
10:45:30.587,05,01803.2300 E,45.4
10:45:31.587,06,01803.2291 E,45.0
10:45:32.587,05,01803.2282 E,44.3
10:45:33.586,05,01803.2273 E,43.5
