date_and_time, Numberofsatellites, longtitude,
13:47:31.361,10,01231.2946 E,36.1
13:47:32.000,10,01231.2941 E,31.7
13:47:33.000,10,01231.2938 E,24.9
13:47:34.000,10,01231.2941 E,23.7
13:47:35.000,10,01231.2946 E,23.6
13:47:36.000,09,01231.2961 E,23.7
13:47:37.000,09,01231.2959 E,22.6
13:47:38.000,10,01231.2970 E,20.6
13:47:39.000,10,01231.2980 E,20.2
13:47:40.000,09,01231.2992 E,20.2
13:47:41.000,08,01231.3001 E,19.0
13:47:42.000,07,01231.3009 E,17.9
13:47:43.000,08,01231.3013 E,17.6
13:47:44.000,08,01231.3016 E,17.7
13:47:45.000,09,01231.3015 E,17.6
13:47:46.000,09,01231.3012 E,17.9
13:47:47.000,09,01231.3010 E,17.4
13:47:48.000,10,01231.3006 E,16.5
13:47:49.000,10,01231.2999 E,16.3
13:47:50.000,10,01231.2994 E,15.9
13:47:51.000,10,01231.2991 E,15.5
13:47:52.000,10,01231.2984 E,15.3
13:47:53.000,10,01231.2981 E,15.0
13:47:54.000,09,01231.2975 E,15.2
13:47:55.000,09,01231.2971 E,15.2
13:47:56.000,09,01231.2967 E,15.2
13:47:57.000,10,01231.2965 E,15.3
13:47:58.000,10,01231.2963 E,15.0
13:47:59.000,10,01231.2959 E,14.9
13:48:00.000,10,01231.2953 E,14.4
13:48:01.000,10,01231.2947 E,13.9
13:48:02.000,10,01231.2944 E,13.8
13:48:03.000,10,01231.2942 E,13.6
13:48:04.000,10,01231.2939 E,13.2
13:48:05.000,10,01231.2940 E,12.8
13:48:06.000,10,01231.2945 E,12.8
13:48:07.000,09,01231.2954 E,13.9
13:48:08.000,07,01231.2962 E,15.0
13:48:09.000,08,01231.2966 E,15.2
13:48:10.000,06,01231.2972 E,15.8
13:48:11.000,03,01231.2975 E,16.8
13:48:12.000,00,01231.2974 E,16.8
13:48:13.000,00,01231.2974 E,16.9
13:48:14.000,00,01231.2973 E,16.9
13:48:15.000,00,01231.2972 E,16.9
13:48:16.000,00,01231.2971 E,17.0
13:48:17.000,00,01231.2971 E,17.0
13:48:18.000,00,01231.2970 E,17.0
13:48:19.000,00,01231.2969 E,17.0
13:48:20.000,00,01231.2968 E,17.1
13:48:21.000,00,01231.2967 E,17.1
13:48:22.000,00,01231.2967 E,17.1
13:48:23.000,00,01231.2966 E,17.2
13:48:24.000,00,01231.2965 E,17.2
13:48:25.000,00,01231.2964 E,17.2
13:48:42.000,03,01231.2499 E,25.5
13:48:43.000,03,01231.2594 E,22.4
13:48:44.000,03,01231.2591 E,21.8
13:48:45.000,03,01231.2663 E,19.3
13:48:46.000,08,01231.2723 E,13.3
13:48:47.000,08,01231.2774 E,11.9
13:48:48.000,08,01231.2803 E,9.8
13:48:49.000,08,01231.2811 E,12.7
13:48:50.000,09,01231.2839 E,17.9
13:48:51.000,09,01231.2856 E,17.0
13:48:52.000,09,01231.2865 E,18.0
13:48:53.000,09,01231.2877 E,18.9
13:48:54.000,10,01231.2883 E,19.6
13:48:55.000,10,01231.2889 E,18.9
13:48:56.000,10,01231.2893 E,19.4
13:48:57.000,10,01231.2900 E,19.2
13:48:58.000,10,01231.2907 E,18.9
13:48:59.000,10,01231.2913 E,18.5
13:49:00.000,10,01231.2917 E,18.2
13:49:01.000,10,01231.2925 E,18.8
13:49:02.000,10,01231.2932 E,19.0
13:49:03.000,10,01231.2935 E,18.5
13:49:04.000,10,01231.2936 E,17.5
13:49:05.000,10,01231.2939 E,17.9
13:49:06.000,10,01231.2936 E,17.1
13:49:07.000,10,01231.2931 E,16.2
13:49:08.000,10,01231.2934 E,15.6
13:49:09.000,10,01231.2943 E,18.0
13:49:10.000,10,01231.2943 E,19.4
13:49:11.000,10,01231.2953 E,19.3
13:49:12.000,10,01231.2956 E,20.5
13:49:13.000,10,01231.2958 E,21.0
13:49:14.000,10,01231.2955 E,21.1
13:49:15.000,10,01231.2951 E,20.9
13:49:16.000,10,01231.2945 E,20.6
13:49:17.000,10,01231.2939 E,20.5
13:49:18.000,10,01231.2932 E,20.4
13:49:19.000,10,01231.2926 E,20.4
13:49:20.000,10,01231.2919 E,20.4
13:49:21.000,10,01231.2914 E,20.7
13:49:22.000,10,01231.2905 E,20.6
13:49:23.000,10,01231.2899 E,20.3
13:49:24.000,10,01231.2894 E,20.6
13:49:25.000,09,01231.2895 E,20.6
13:49:26.000,09,01231.2897 E,20.9
13:49:27.000,09,01231.2899 E,20.4
13:49:28.000,09,01231.2897 E,20.0
13:49:29.000,10,01231.2896 E,19.9
13:49:30.000,10,01231.2893 E,20.1
13:49:31.000,10,01231.2888 E,19.9
13:49:32.000,10,01231.2885 E,20.2
13:49:33.000,10,01231.2879 E,20.4
13:49:34.000,10,01231.2876 E,20.3
13:49:35.000,09,01231.2875 E,20.6
13:49:36.000,10,01231.2874 E,21.1
13:49:37.000,10,01231.2872 E,21.2
13:49:38.000,10,01231.2870 E,21.2
13:49:39.000,08,01231.2869 E,21.4
13:49:40.000,08,01231.2868 E,21.8
13:49:41.000,08,01231.2868 E,22.2
13:49:42.000,09,01231.2867 E,22.5
13:49:43.000,08,01231.2867 E,22.8
13:49:44.000,08,01231.2866 E,23.1
13:49:45.000,09,01231.2865 E,23.2
13:49:46.000,09,01231.2864 E,23.2
13:49:47.000,08,01231.2865 E,23.3
13:49:48.000,08,01231.2866 E,23.4
13:49:49.000,08,01231.2860 E,24.7
13:49:50.000,08,01231.2859 E,24.4
13:49:51.000,08,01231.2857 E,24.4
13:49:52.000,08,01231.2856 E,24.1
13:49:53.000,08,01231.2856 E,23.6
13:49:54.000,08,01231.2854 E,23.2
13:49:55.000,08,01231.2852 E,22.8
13:49:56.000,09,01231.2847 E,22.5
13:49:57.000,09,01231.2838 E,22.2
13:49:58.000,09,01231.2832 E,22.0
13:49:59.000,09,01231.2830 E,22.1
13:50:00.000,09,01231.2820 E,22.1
13:50:01.000,09,01231.2813 E,22.2
13:50:02.000,08,01231.2809 E,22.6
13:50:03.000,08,01231.2804 E,23.0
13:50:04.000,09,01231.2801 E,23.5
13:50:05.000,09,01231.2799 E,23.9
13:50:06.000,09,01231.2800 E,24.1
13:50:07.000,09,01231.2803 E,24.3
13:50:08.000,09,01231.2805 E,24.5
13:50:09.000,09,01231.2804 E,25.3
13:50:10.000,08,01231.2802 E,25.9
13:50:11.000,08,01231.2802 E,26.2
13:50:12.000,08,01231.2814 E,27.1
13:50:13.000,08,01231.2816 E,27.2
