date_and_time, Numberofsatellites, longtitude,
17:15:19.931,0,03512.1639 E,640.5
17:15:20.931,0,03512.1639 E,640.5
17:15:21.931,0,03512.1639 E,640.5
17:15:22.931,0,03512.1639 E,640.5
17:15:23.931,0,03512.1639 E,640.5
17:15:24.931,0,03512.1639 E,640.5
17:15:25.931,0,03512.1773 E,640.5
17:15:26.931,0,03512.1798 E,635.1
17:15:27.931,0,03512.1788 E,655.6
17:15:28.931,0,03512.1780 E,656.1
17:15:30.000,4,03512.1776 E,653.6
17:15:31.000,4,03512.1770 E,654.3
17:15:32.000,4,03512.1767 E,654.1
17:15:33.000,5,03512.1789 E,646.4
17:15:34.000,5,03512.1790 E,645.9
17:15:35.000,5,03512.1786 E,647.5
17:15:36.000,6,03512.1784 E,647.9
17:15:37.000,7,03512.1796 E,643.0
17:15:38.000,7,03512.1795 E,639.7
17:15:39.000,7,03512.1796 E,636.4
17:15:40.000,7,03512.1796 E,634.3
17:15:41.000,7,03512.1795 E,634.2
17:15:42.000,8,03512.1791 E,635.2
17:15:43.000,8,03512.1787 E,637.7
17:15:44.000,8,03512.1792 E,636.9
17:15:45.000,8,03512.1795 E,635.9
17:15:46.000,8,03512.1801 E,634.4
17:15:47.000,8,03512.1806 E,634.5
17:15:48.000,8,03512.1810 E,632.9
17:15:49.000,8,03512.1816 E,631.0
17:15:50.000,9,03512.1823 E,630.6
17:15:51.000,9,03512.1827 E,630.7
17:15:52.000,9,03512.1831 E,630.1
17:15:53.000,9,03512.1836 E,629.8
17:15:54.000,9,03512.1836 E,628.8
17:15:55.000,9,03512.1837 E,628.0
17:15:56.000,9,03512.1843 E,627.7
17:15:57.000,9,03512.1844 E,626.9
17:15:58.000,9,03512.1850 E,626.8
17:15:59.000,9,03512.1856 E,626.6
17:16:00.000,9,03512.1863 E,626.6
17:16:01.000,9,03512.1870 E,626.6
17:16:02.000,9,03512.1873 E,626.5
17:16:03.000,9,03512.1878 E,626.5
17:16:04.000,9,03512.1880 E,626.9
17:16:05.000,9,03512.1884 E,627.2
17:16:06.000,9,03512.1888 E,627.1
17:16:07.000,9,03512.1891 E,627.4
17:16:08.000,9,03512.1893 E,627.4
17:16:09.000,9,03512.1897 E,627.4
17:16:10.000,9,03512.1900 E,627.4
17:16:11.000,9,03512.1906 E,627.3
17:16:12.000,9,03512.1913 E,627.3
17:16:13.000,9,03512.1921 E,627.3
